source_doi,published-print-date,is-referenced-by-count,funder,published-online-date,journal-published-print-date
10.1016/j.cbpa.2015.10.017,2016.0,25.0,French ANRJCJC,,
10.1038/mi.2015.114,2016.0,47.0,,2015.0,2016.0
10.3928/01477447-20160111-01,2016.0,33.0,,,2016.0
10.1136/annrheumdis-2015-207336,2016.0,13.0,,2015.0,2016.0
10.1080/17528631.2015.1085664,2017.0,2.0,,2015.0,2017.0
10.1038/srep21760,2016.0,18.0,,2016.0,2016.0
10.1289/ehp.1510927,2016.0,3.0,,,2016.0
10.1002/jcd.21506,2016.0,4.0,,2015.0,2016.0
10.1016/j.jcp.2015.10.013,2016.0,23.0,"NSF,NASA,NSF,Simons Foundation,ANR,Seventh Framework Programme,ERC",,
10.1097/MD.0000000000002633,2016.0,2.0,,,2016.0
10.1007/s12603-015-0608-7,2016.0,24.0,,2015.0,2016.0
10.3934/dcdss.2016.9.185,2016.0,2.0,,,2016.0
10.1007/s11695-015-1907-0,2016.0,20.0,,2015.0,2016.0
10.1007/s00345-016-1767-9,2016.0,8.0,,2016.0,2016.0
10.1007/s00428-015-1837-1,2016.0,18.0,,2015.0,2016.0
10.1016/j.ijgo.2015.08.028,2016.0,14.0,,2016.0,2016.0
10.1007/s00542-015-2612-6,2016.0,1.0,Natural Sciences and Engineering Research Council of Canada,2015.0,2016.0
10.3389/fmicb.2015.01500,,48.0,Agence Nationale de la Recherche,2016.0,
10.1016/j.jog.2016.03.006,2016.0,0.0,,,
10.1016/j.lpm.2015.08.008,2016.0,24.0,,,2016.0
10.1016/j.jflm.2015.12.005,2016.0,0.0,,,
10.1007/978-3-319-18827-0_49,2016.0,1.0,,,
10.1007/s10686-015-9475-9,2016.0,3.0,,2015.0,2016.0
10.1038/ngeo2620,2016.0,31.0,,2015.0,2016.0
10.1210/en.2015-1639,2016.0,9.0,,2015.0,2016.0
10.1007/s10750-015-2333-y,2016.0,62.0,,2015.0,2016.0
10.1055/s-0034-1393129,,1.0,,2015.0,
10.15252/emmm.201505496,2016.0,118.0,,2015.0,2016.0
10.1051/medsci/20163203010,2016.0,12.0,,2016.0,
10.1111/pre.12113,2016.0,4.0,"Global Environment Research Fund,Ministry of the Environment, Japan,JST,DIISR,TOTAL FOUNDATION",2016.0,2016.0
10.1007/s00259-016-3309-5,2016.0,25.0,"ENC-DAT was funded by EANM, GE Healthcare, and German Parkinson Association",2016.0,2016.0
10.1016/j.jvsv.2015.07.006,2016.0,1.0,,,2016.0
10.1103/PhysRevD.93.025004,,43.0,"Education, Audiovisual and Culture Executive Agency",2016.0,2016.0
