doi,year,title,journal_name,publisher,bso_classification
10.1016/j.cbpa.2015.10.017,2016,"Differential distribution of lipids in epidermis, gastrodermis and hosted Symbiodinium in the sea anemone Anemonia viridis",Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,Elsevier BV,Medical research
10.1038/mi.2015.114,2016,Oral tolerance is inefficient in neonatal mice due to a physiological vitamin A deficiency,Mucosal Immunology,Springer Science and Business Media LLC,Medical research
10.3928/01477447-20160111-01,2016,Challenges in Reverse Shoulder Arthroplasty: Addressing Glenoid Bone Loss,Orthopedics,"SLACK, Inc.",Medical research
10.1136/annrheumdis-2015-207336,2016,A prospective study of the 6 min walk test as a surrogate marker for haemodynamics in two independent cohorts of treatment-naïve systemic sclerosis-associated pulmonary arterial hypertension,Annals of the Rheumatic Diseases,BMJ,Medical research
10.1080/17528631.2015.1085664,2017,A ‘black Parisian’ march in remembrance of slavery: challenging the French collective imagination,African and Black Diaspora: An International Journal,Informa UK Limited,Biology (fond.)
10.1038/srep21760,2016,On the use of 31P NMR for the quantification of hydrosoluble phosphorus-containing compounds in coral host tissues and cultured zooxanthellae,Scientific Reports,Springer Science and Business Media LLC,"Physical sciences, Astronomy"
10.1289/ehp.1510927,2016,Comment on “Effects of Atrazine on Estrogen Receptor α– and G Protein–Coupled Receptor 30–Mediated Signaling and Proliferation in Cancer Cells and Cancer-Associated Fibroblasts”,Environmental Health Perspectives,Environmental Health Perspectives,Medical research
10.1002/jcd.21506,2016,Well-Balanced Designs for Data Placement,Journal of Combinatorial Designs,Wiley,Biology (fond.)
10.1016/j.jcp.2015.10.013,2016,A two-dimensional Riemann solver with self-similar sub-structure – Alternative formulation based on least squares projection,Journal of Computational Physics,Elsevier BV,Biology (fond.)
10.1097/MD.0000000000002633,2016,"Predictors of High Motivation Score for Performing Research Initiation Fellowship, Master 1, Research Master 2, and PhD Curricula During Medical Studies",Medicine,Ovid Technologies (Wolters Kluwer Health),Medical research
10.1007/s12603-015-0608-7,2016,Impact of age-related comorbidities on five-year overall mortality among elderly HIV-infected patients in the late HAART era — Role of chronic renal disease,"The journal of nutrition, health & aging",Springer Science and Business Media LLC,Medical research
10.3934/dcdss.2016.9.185,2016,Stabilized Galerkin for transient advection of differential forms,Discrete & Continuous Dynamical Systems - S,American Institute of Mathematical Sciences (AIMS),Medical research
10.1007/s11695-015-1907-0,2016,Increased Prevalence of Irritable Bowel Syndrome in a Cohort of French Morbidly Obese Patients Candidate for Bariatric Surgery,Obesity Surgery,Springer Science and Business Media LLC,Social sciences
10.1007/s00345-016-1767-9,2016,Impact of smoking status on survival after cytoreductive nephrectomy for metastatic renal cell carcinoma,World Journal of Urology,Springer Science and Business Media LLC,Medical research
10.1007/s00428-015-1837-1,2016,Sense and nonsense in the process of accreditation of a pathology laboratory,Virchows Archiv,Springer Science and Business Media LLC,Medical research
10.1016/j.ijgo.2015.08.028,2016,A prospective study into the benefits of simulation training in teaching obstetric vaginal examination,International Journal of Gynecology & Obstetrics,Wiley,"Computer and 
 information sciences"
10.1007/s00542-015-2612-6,2016,"Fabrication, simulations, and measurements of self-assembled millimeter-wave antennas for system-on-chip applications",Microsystem Technologies,Springer Science and Business Media LLC,Medical research
10.1016/j.pss.2015.10.010,2016,Asteroid orbits with Gaia using random-walk statistical ranging,Planetary and Space Science,Elsevier BV,Biology (fond.)
10.3389/fmicb.2015.01500,2016,Dynamics of Bacterial Community Composition in the Malaria Mosquito's Epithelia,Frontiers in Microbiology,Frontiers Media SA,Medical research
10.1016/j.jog.2016.03.006,2016,Subduction & orogeny: Introduction to the special volume,Journal of Geodynamics,Elsevier BV,Medical research
10.1016/j.lpm.2015.08.008,2016,"Obésité, diabète de type 2 et perturbateurs endocriniens",La Presse Médicale,Elsevier BV,Medical research
