sourceuca_source_id,sourceuca_doi,sourceuca_year,sourceuca_corresponding,sourceuca_all_authors,sourceuca_corresponding_normalized,sourceuca_title,sourceuca_journal_name,sourceuca_journal_issn_l,sourceuca_journal_is_oa,sourceuca_journal_is_in_doaj,sourceuca_is_oa_normalized,sourceuca_oa_status_normalized,sourceuca_oa_host_type_normalized,sourceuca_oa_repo_normalized,sourceuca_publisher_by_doiprefix,sourceuca_bso_classification_fr,sourceuca_funder
SCOPUS_ID:84959020266,10.3928/01477447-20160111-01,2016,,Boileau P.,non,Challenges in Reverse Shoulder Arthroplasty: Addressing Glenoid Bone Loss,Orthopedics,0147-7447,False,False,Accès fermé,Closed,Accès fermé,Autres,"SLACK, Inc.",Recherche médicale,
SCOPUS_ID:84958747973,10.1097/MD.0000000000002633,2016,,Fournier J.P.,non,"Predictors of High Motivation Score for Performing Research Initiation Fellowship, Master 1, Research Master 2, and PhD Curricula During Medical Studies",Medicine,0025-7974,True,True,Accès ouvert,Gold,Editeur et archive ouverte,"Hal,Autres",Ovid Technologies (Wolters Kluwer Health),Recherche médicale,
SCOPUS_ID:84955516606,10.1103/PhysRevD.93.025004,2016,,Strobel E.|Stahl C.,non,Fermionic current and Schwinger effect in de Sitter spacetime,Physical Review D,2470-0010,False,False,Accès ouvert,Green,Archive ouverte,arXiv,American Physical Society (APS),Sciences physiques et astronomie,"Education, Audiovisual and Culture Executive Agency"
SCOPUS_ID:84955476328,10.1103/PhysRevD.93.025014,2016,,Strobel E.,non,Comparison of semiclassical and Wigner function methods in pair production in rotating fields,Physical Review D,2470-0010,False,False,Accès ouvert,Green,Archive ouverte,arXiv,American Physical Society (APS),Sciences physiques et astronomie,"Education, Audiovisual and Culture Executive Agency,Deutsche Forschungsgemeinschaft"
SCOPUS_ID:84962040424,10.5978/islsm.16-OR-02,2016,,Brulat-Bouchard N.|Fornaini C.|Muhammad O.H.|Gamal A.E.|Medioni E.|Rocca J.P.,non,"The effect of CO2 and Nd:YAP lasers on CAD/CAM Ceramics: SEM, EDS and thermal studies",LASER THERAPY,0898-5901,False,False,Accès ouvert,Bronze,Editeur et archive ouverte,Autres,International Phototherapy Association,Sciences physiques et astronomie,
SCOPUS_ID:84959911310,10.1142/S0219887816500274,2016,,Barbachoux C.|Kouneiher J.,non,Dark matter as residual of topological changes,International Journal of Geometric Methods in Modern Physics,0219-8878,False,False,Accès fermé,Closed,Accès fermé,Autres,World Scientific Pub Co Pte Ltd,Sciences physiques et astronomie,
SCOPUS_ID:84959893589,10.1109/TGRS.2016.2528298,2016,,Richard C.|Richard C.,non,Estimating the Intrinsic Dimension of Hyperspectral Images Using a Noise-Whitened Eigengap Approach,IEEE Transactions on Geoscience and Remote Sensing,0196-2892,False,False,Accès ouvert,Green,Archive ouverte,"Hal,arXiv",Institute of Electrical and Electronics Engineers (IEEE),"Sciences de la Terre, écologie, énergie et biologie appliquée",
SCOPUS_ID:84954308949,10.1212/WNL.0000000000002264,2016,Bendahhou S.|UCA (affiliation),Bendahhou S.|Habbout K.|Giuliano S.,oui,A recessive Na<sub>v</sub>1.4 mutation underlies congenital myasthenic syndrome with periodic paralysis,Neurology,0028-3878,False,False,Accès ouvert,Green,Archive ouverte,"Hal,Autres",Ovid Technologies (Wolters Kluwer Health),Recherche médicale,
SCOPUS_ID:84952979278,10.1142/S0219887815501297,2016,,Kouneiher J.,non,Superlogic manifolds and geometric approach to quantum logic,International Journal of Geometric Methods in Modern Physics,0219-8878,False,False,Accès ouvert,Green,Archive ouverte,arXiv,World Scientific Pub Co Pte Ltd,Sciences physiques et astronomie,
SCOPUS_ID:84940908558,10.1007/s10409-015-0487-5,2016,,Yu Y.,non,Generalized flyby trajectories around elongated minor celestial bodies as a rotating mass dipole,Acta Mechanica Sinica,0567-7718,False,False,Accès fermé,Closed,Accès fermé,Autres,Springer Science and Business Media LLC,Sciences physiques et astronomie,
