index,value
Université Côte d'Azur,16493
Université Côte d’Azur,6810
,1526
Universite Cote d'Azur,553
University Côte d'Azur,483
University Côte d’Azur,424
Université Cote d'Azur,402
Université Côte D'Azur,398
University of Côte d'Azur,257
Côte d'Azur University,203
Université Cote d’Azur,195
Université Nice Côte d'Azur,170
université Côte d'Azur,159
Université Côte D’Azur,150
Universite Côte d'Azur,141
Université Côte d'Azur (UCA),138
University of Cote d'Azur,114
Université de la Côte d'Azur,107
University of Côte d’Azur,106
Côte d’Azur University,104
University Cote d'Azur,102
Université Nice Côte d’Azur,96
Université Côte d' Azur,85
Université Côte d′Azur,80
Universite Cote D'Azur,78
Univ. Côte d'Azur,78
Université Côte d’Azur (UCA),74
Cote d'Azur University,66
Universite´ Coˆte d'Azur,63
Université Cǒte d'Azur,58
Université Côte DAzur,47
université Côte-d'Azur,44
Université Côté d'Azur,43
Université Cote D'Azur,40
Université Côte d-Azur,39
Université Côte d'Azur (GREDEG),38
Université Côte-d'Azur,37
Université Côte D Azur,33
University Cote d’Azur,32
Université Côte da Azur,31
Universite Côte d’Azur,31
Cote d’Azur University,30
Univ. Côte d’Azur,28
University Hospital of Nice-Côte d'Azur University,28
UniversitéCôte d'Azur,28
Université Côte dAzur,27
Côte D'Azur University,25
University of Cote d’Azur,24
Université Côte-d’Azur,24
Artemis Université Côte d' Azur,24
Université Côte d'Azur - Inria,24
University Nice Côte d'Azur,24
Université Co^te d'Azur,24
Université de la Côte d’Azur,23
Universite Cote d’Azur,23
Université de Côte d'Azur,21
Universitê Côte d'Azur,21
Artemis Université Côte d'Azur,21
Universitè Côte d'Azur,21
Université Côte d’Azur (GREDEG),20
Universite Cote D Azur,20
Univ. Cote d'Azur,19
Nice Côte d'Azur University,19
Université Nice Côte D'Azur,19
Université Côte d'Azur Inria,18
Université Côte d'Azur and Inria,18
University of Côte d’Azur (UCA),16
Université Côte d'Azur et CNRS,16
Universitée Côote d'Azur,16
SKEMA Business School – Université Côte d'Azur,16
University Côte d'Azur (UCA),16
Université Côte-Azur,15
Laboratoire International Associé Université Côte d’Azur - Centre Scientifique de Monaco,15
université Nice Côte d'Azur,14
Université Nice Cote d'Azur,14
University Côte D'Azur,14
