mentionAffil_reconstruct,nb_mentions
"Artemis, Université Côte d'Azur, Observatoire Côte d'Azur, CNRS",1039
"Artemis, Université Côte d'Azur, CNRS, Observatoire Côte d'Azur",449
"Artemis, Université Côte d'Azur, Observatoire de la Côte d'Azur, CNRS",280
"Laboratoire Lagrange, Université Côte d'Azur, Observatoire de la Côte d'Azur, CNRS",219
"Artemis, Université Côte d'Azur, Observatoire Côte d'Azur, CNRS, CS 34229",187
"Artemis, Université Côte d'Azur, Observatoire Côte d'Azur, Cnrs",95
"Artemis, Université Côte d'Azur, Observatoire Côte d'Azur",80
"Artemis, Université Côte d'Azur, Observatoire de la Côte d'Azur, Cnrs",74
"Artemis, Université Côte d'Azur, CNRS, Observatoire Côte d'Azur, CS",71
"Inria, Université Côte d'Azur",67
"Artemis, Université Côte d'Azur",64
"Boratoire Lagrange, Iversite Cote D'Azur, Servatoire de la Cote D'Azur",61
"Laboratoire Lagrange, Université Côte d'Azur, Observatoire de la Côte d'Azur, CNRS, CS 34229",57
"Inria, Université Côte d’Azur",56
"Artemis, Université Côte d'Azur, Observatoire de la Côte d'Azur",49
"Artemis, Université Côte d'Azur, CNRS",49
"SKEMA Business School, Université Côte d'Azur",46
"Institut de Physique de Nice, Université Côte d'Azur, CNRS",44
"INRA, Université Côte d'Azur, CNRS, ISA",44
"Laboratoire Lagrange, Université Côte d'Azur, Observatoire de la Côte d'Azur, Cnrs",42
"SKEMA Business School, Université Côte d’Azur",41
"Laboratoire Lagrange, Université Côte d'Azur, Observatoire de la Côte d'Azur",40
"Laboratoire Lagrange, Université Côte d’Azur, Observatoire de la Côte d’Azur, CNRS",36
"Artemis, Université Côte d'Azur, CNRS, Observatoire Côte d'Azur, CS 34229",34
"Observatoire de la Côte d'Azur, CNRS, Laboratoire Lagrange, Université Côte d'Azur",34
"MajuLab, International Joint Research Unit UMI 3654, CNRS, Université Côte d'Azur, Sorbonne Université, National University of Singapore, Nanyang Technological University",33
"INRAE, Université Côte d’Azur, CNRS, ISA",31
"LAMHESS, Université Côte d'Azur",31
"Laboratoire Lagrange, Université Côte da Azur, Observatoire de la Côte da Azur",31
"INRA, Université Côte d’Azur, CNRS, ISA",29
"INRA (French National Institute for Agricultural Research), Université Côte d’Azur, CNRS, UMR 1355-7254, Institut Sophia Agrobiotech",29
"SKEMA Business School, Université Côte d'Azur (GREDEG)",28
"LAMHESS, Université Côte d’Azur",27
"Department of Radiation Oncology, Antoine Lacassagne Cancer Center, University of Cote d'Azur",25
"Artemis, Université Côte d'Azur, Observatoire de la Côte d'Azur, CNRS| Laboratoire Lagrange, Université Côte d'Azur, Observatoire Côte d'Azur, CNRS",24
"ARTEMIS, Université Côte d'Azur, CNRS, Observatoire de la Côte d'Azur",24
"Institut de Physique de Nice, Université Côte d’Azur, CNRS",24
"Artemis, Université Côte d’Azur, Observatoire Côte d’Azur, CNRS, CS 34229",24
"Inserm U1065, C3M, Team: Myeloid Malignancies and Multiple Myeloma| Université Côte d’Azur",24
"Artemis, Université Côte DAzur, Observatoire Côte DAzur, CNRS, Nice",24
"Artemis, Université Côte d’Azur, Observatoire Côte d’Azur, CNRS",23
"INRIA, Université Côte d'Azur",23
"Artemis, Universite Cote d'Azur, Observatoire Cote d'Azur, CNRS, CS 34229",22
"Artemis, Universite Cote d'Azur, Observatoire de Louisiana Côte d'Azur, CNRS",22
"CNRS, Université Côte d'Azur, CRHEA",21
"Artemis, Université Côte d'Azur, Observatoire Côte d'Azur, CNRS, Cs 34229",21
"Artemis, Observatoire Côte d'Azur, Université Côte d'Azur, CNRS",20
"Artemis, Observatoire Côte d’Azur, CNRS, Université Côte d’Azur",20
"ARTEMIS, Université Côte d’Azur, CNRS and Observatoire de la Côte d’Azur",20
"CNRS, Université Côte d’Azur",19
