affiliation_name,nb_publis_2016,nb_publis_2017,nb_publis_2018,nb_publis_2019,nb_publis_2020,nb_publis_2021,nb_publis_2022,nb_publis_total
Labo inconnu,402,551,611,714,726,951,548,4503
Laboratoire Joseph-Louis Lagrange,264,259,276,207,315,271,144,1736
Laboratoire de Mathématiques J.A. Dieudonné,178,175,202,164,195,178,143,1235
Laboratoire D'informatique Signaux et Systèmes de Sophia-Antipolis,163,163,168,201,192,178,111,1176
Centre Méditerranéen de Médecine Moléculaire,130,115,133,147,178,174,111,988
Institut de Physique de Nice,147,123,121,167,159,162,82,961
Le Laboratoire Géoazur,140,131,117,142,155,160,63,908
"Institut de Recherche sur le Cancer et le Vieillissement, Nice",99,115,95,101,123,113,88,734
Institut Sophia Agrobiotech - (ISA),92,94,73,103,114,122,70,668
Institut de Pharmacologie Moléculaire et Cellulaire,96,93,91,95,94,119,70,658
Institut de Biologie Valrose,78,78,97,94,100,94,55,596
Institut de Chimie de Nice,84,85,75,81,88,107,65,585
"Groupe de Recherche en Droit, Économie et Gestion",70,81,89,83,77,90,57,547
Laboratoire Motricité Humaine Expertise Sport Santé,67,65,56,59,53,58,57,415
Observatoire de la Côte d'Azur,58,50,82,68,47,72,37,414
Centre de Recherche sur l'Hétéro-Epitaxie et ses Applications,63,64,60,59,53,51,37,387
"Astrophysique Relativiste, Théories, Expériences, Metrologie, Instrumentation, Signaux",45,53,37,61,41,49,22,308
"Laboratoire D'électronique, Antennes et Télécommunications",37,37,48,45,51,46,11,275
"Cultures et Envirronements, Préhistoire, Antiquité, Moyen-Age",30,38,28,35,47,38,18,234
Cognition Behaviour Technology,25,16,22,31,29,44,36,203
Ecology and Conservation Science for Sustainable Seas,30,22,31,33,24,22,12,174
Laboratoire Polytech'LAB,20,14,30,23,34,22,15,158
"Laboratoire d'Anthropologie et de Psychologie Cliniques, Cognitives et Sociales",14,19,24,15,18,25,21,136
Étude des Structures et des Processus d’Adaptation et des Changements de l’Espace,18,19,20,23,23,20,10,133
Laboratoire de Physiomédecine Moléulaire,9,11,15,20,18,30,20,123
"Bases, Corpus et Langage",13,9,20,14,23,11,9,99
Centre Commun de Microscopie Appliquée,6,21,11,15,16,18,10,97
Transporteurs en Imagerie et Radiothérapie en Oncologie,15,5,8,20,18,17,8,91
"Microbiologie Orale, Immunothérapie et Santé",10,12,16,9,10,16,6,79
"NICE Lab, IMREDD",0,16,16,19,12,8,6,77
MajuLab,0,1,3,13,19,20,12,68
Unité de Recherche Migrations et Société,7,12,12,8,6,4,6,55
Groupe de Recherche en Management,3,4,9,11,7,10,8,52
"Unité de Recherche Clinique de la Côte d’Azur, URRIS UR2CA",0,0,0,0,6,19,25,50
Laboratoire RETINES,0,0,0,2,5,7,13,27
Laboratoire d'Innovation et Numérique pour l'Éducation (#fabLINE),0,4,3,3,3,7,5,25
EpoC,9,9,4,0,0,0,0,22
Laboratoire Souterrain à Bas Bruit,9,5,2,2,2,1,0,21
Unite de Pharmacogenetique et Radiogenetique des Cancers,0,8,5,2,1,3,0,19
"Laboratoire Interdisciplinaire Récits, Cultures et Sociétés",5,0,1,2,5,4,2,19
"Interdisciplinary Institute for Artificial Intelligence, 3iA Côte d’Azur",0,0,0,0,1,5,9,15
"Center of Modeling, Simulation, and Interactions",0,0,2,2,5,2,4,15
Centre de la Méditerranée Moderne et Contemporaine,3,2,2,1,3,2,1,14
Equipe de Recherche sur les Mutations de I'Europe et de ses Sociétés,2,0,3,2,1,1,1,10
Centre de Recherches en Histoires des Idées,0,2,1,0,3,0,0,6
UNS divers,0,1,2,2,1,0,0,6
Centre Transdisciplinaire D'épistémologie de la Littérature et des Arts Vivants,0,0,0,2,1,1,0,4
"Information Milieux, Médias, Médiations",3,0,0,0,0,0,0,3
Villa Arson,0,0,0,1,0,1,0,2
LADIE,0,0,0,0,1,0,1,2
