aff_internal_id,aff_scopus_id,dc:identifiers
5,60006380,SCOPUS_ID:85144589193
5,60006380,SCOPUS_ID:85136162506
5,60006380,SCOPUS_ID:85148296868
5,60006380,SCOPUS_ID:85144280728
5,60006380,SCOPUS_ID:85139885735
5,60006380,SCOPUS_ID:85139353946
5,60006380,SCOPUS_ID:85138363548
5,60006380,SCOPUS_ID:85133990260
5,60006380,SCOPUS_ID:85132124069
5,60006380,SCOPUS_ID:85127471306
5,60006380,SCOPUS_ID:85127066308
5,60006380,SCOPUS_ID:85125057030
5,60006380,SCOPUS_ID:85124058050
5,60006380,SCOPUS_ID:85122206839
5,60006380,SCOPUS_ID:85142939382
5,60006380,SCOPUS_ID:85145641461
5,60006380,SCOPUS_ID:85139830512
5,60006380,SCOPUS_ID:85141390961
5,60006380,SCOPUS_ID:85138593650
5,60006380,SCOPUS_ID:85138014453
5,60006380,SCOPUS_ID:85137300427
5,60006380,SCOPUS_ID:85132593667
5,60006380,SCOPUS_ID:85140976675
5,60006380,SCOPUS_ID:85140581778
5,60006380,SCOPUS_ID:85139813062
5,60006380,SCOPUS_ID:85139376658
5,60006380,SCOPUS_ID:85139229151
5,60006380,SCOPUS_ID:85136907767
5,60006380,SCOPUS_ID:85127154209
5,60006380,SCOPUS_ID:85140022086
5,60006380,SCOPUS_ID:85136113467
5,60006380,SCOPUS_ID:85135522649
5,60006380,SCOPUS_ID:85136567121
5,60006380,SCOPUS_ID:85138084062
5,60006380,SCOPUS_ID:85136870254
5,60006380,SCOPUS_ID:85138440867
5,60006380,SCOPUS_ID:85136233029
5,60006380,SCOPUS_ID:85135419300
5,60006380,SCOPUS_ID:85131835751
5,60006380,SCOPUS_ID:85128854167
5,60006380,SCOPUS_ID:85128759680
5,60006380,SCOPUS_ID:85135127084
5,60006380,SCOPUS_ID:85133493759
5,60006380,SCOPUS_ID:85133370514
5,60006380,SCOPUS_ID:85133246780
5,60006380,SCOPUS_ID:85132802808
5,60006380,SCOPUS_ID:85132561360
5,60006380,SCOPUS_ID:85124998431
5,60006380,SCOPUS_ID:85124430501
5,60006380,SCOPUS_ID:85133913008
5,60006380,SCOPUS_ID:85133516451
5,60006380,SCOPUS_ID:85131969315
5,60006380,SCOPUS_ID:85128297435
5,60006380,SCOPUS_ID:85127791156
5,60006380,SCOPUS_ID:85134361112
5,60006380,SCOPUS_ID:85134012698
5,60006380,SCOPUS_ID:85132406586
5,60006380,SCOPUS_ID:85127859327
5,60006380,SCOPUS_ID:85098766728
5,60006380,SCOPUS_ID:85129395052
5,60006380,SCOPUS_ID:85133321171
5,60006380,SCOPUS_ID:85130361736
5,60006380,SCOPUS_ID:85130138274
5,60006380,SCOPUS_ID:85128562569
5,60006380,SCOPUS_ID:85127659953
5,60006380,SCOPUS_ID:85127878906
5,60006380,SCOPUS_ID:85125888376
5,60006380,SCOPUS_ID:85123900882
5,60006380,SCOPUS_ID:85127681194
5,60006380,SCOPUS_ID:85124542081
5,60006380,SCOPUS_ID:85123997506
5,60006380,SCOPUS_ID:85126349945
5,60006380,SCOPUS_ID:85124438366
5,60006380,SCOPUS_ID:85123699594
